Data do leilуo;Tэtulo;Tipo de leilуo;Volta;Data de liquidaчуo;Data de vencimento;Oferta;Taxa mщdia;Taxa de corte;Venda;Financeiro (R$);Venda para Bacen;Financeiro para Bacen (R$)
31/10/2005;LFT;Venda;1.к volta;01/11/2005;17/03/2010;500.000;0,45;0,45;4.000;9.817.987,74;0;0
31/10/2005;LFT;Venda;1.к volta;01/11/2005;18/03/2009;500.000;0,3534;0,3534;231.600;572.836.192,97;0;0
31/10/2005;LTN;Venda;1.к volta;01/11/2005;01/01/2008;2.000.000;17,5626;17,5679;2.000.000;1.413.103.864,76;1.000.000;706.551.932,00
31/10/2005;LTN;Venda;2.к volta;01/11/2005;01/01/2008;300.000;17,5626;17,5626;223.000;157.561.080,82;0;0
31/10/2005;LTN;Venda;1.к volta;01/11/2005;01/04/2007;2.000.000;17,8199;17,8199;2.000.000;1.589.523.112,00;1.000.000;794.761.556,00
31/10/2005;LTN;Venda;2.к volta;01/11/2005;01/04/2007;300.000;17,8199;0;0;0;0;0
31/10/2005;LTN;Venda;1.к volta;01/11/2005;01/07/2006;1.000.000;17,959;17,959;1.000.000;896.909.394,00;0;0
31/10/2005;LTN;Venda;2.к volta;01/11/2005;01/07/2006;150.000;17,959;17,959;12.000;10.762.912,72;0;0
31/10/2005;NTN-F;Venda;1.к volta;01/11/2005;01/01/2010;150.000;0;0;0;0;0;0
31/10/2005;NTN-F;Venda;1.к volta;01/11/2005;01/01/2012;150.000;16,58;16,65;25.000;19.942.988,17;0;0
31/10/2000;LFT;Venda;1.к volta;01/11/2000;20/10/2004;2.500.000;0,1092;0,1092;2.445.000;2.564.120.011,21;-;-
31/10/2000;LTN;Venda;1.к volta;01/11/2000;05/12/2001;1.000.000;17,7675;17,7896;1.000.000;838.180.342,41;-;-
31/10/2000;LTN;Venda;1.к volta;01/11/2000;06/06/2001;1.000.000;17,4202;17,429;1.000.000;910.576.844,34;-;-
31/08/2017;LTN;Venda;1.к volta;01/09/2017;01/07/2021;3.000.000;9,4415;9,4469;3.000.000;2.128.955.300,45;0;0
