,year,quarter,cresRec,divBruta,data,qntAcoes,cotacao,pl,pvp,pebit,pfco,psr,pAtivos,pCapGiro,pAtivCLiq,divYeld,evebit,valordaFirma,valordeMercado,fci,dbPl,vpa,margBruta,capex,margLiq,capexLL,giroAtivos,fcf,caixaLivre,fcl,payout,lpa,margEbit,roic,ebitAtivo,fco,dpa,liqCorrent,divBrPatrim,capexFco,fct,ativoCirculante,fciLL,capexDetails,roe,roa,dlpl,payoutDetails,ebit,lucroLiquido,receitaLiquida,ticker
0,2020.0,1.0,0.25110164300000004,0.0,03/31/2020 00:00:00,108862624.0,13.24,17.7949944,0.0,-4.017485,0.942115843,0.39878259999999993,0.029531816,0.0,0.0,0.0793051347,0.0,0.0,1441341180.0,27110000.0,0.0,0.0,-0.08357596,17660000.0,0.0,0.218032762,0.07405493,-133825000.0,0.0,1636613000.0,0.0,0.7440294620000001,-0.0992617458,0.0,-0.007350821509999998,1529898000.0,1.05,0.0,0.0,0.0115432534,0.0,34843586600.0,-0.334703743,0.0,0.0,0.0016595575699999998,0.0,0.0,-358767000.0,80997000.0,3614353000.0,ABCB4
1,2019.0,4.0,-1.6531740000000001,0.0,12/31/2019 00:00:00,108862624.0,20.08,4.394829,0.08157287540000001,418.0458,-0.9866589,-13.177095399999999,0.06695991,0.0,0.0,0.05229084,0.0,0.0,2185961470.0,51156000.0,0.0,37.364357,-1.25606573,37292000.0,0.0,0.07497477,-0.005081538,-1134367000.0,0.0,-1132308000.0,0.0,4.569006,-0.0315207,0.0,0.000160173615,-2215519000.0,1.05,0.0,0.0,-0.0168321729,0.0,297187000.0,-0.102848046,0.0,0.122282475,0.0152360676,0.0,0.0,5229000.0,497394000.0,-165891000.0,ABCB4
2,2019.0,3.0,0.904045045,0.0,09/30/2019 00:00:00,108862624.0,17.9,14.929712300000002,0.0,23.154829,-0.7007473000000001,1.44115436,0.0,0.0,0.0,0.0613407828,0.0,0.0,1948641000.0,10325000.0,0.0,0.0,0.07223666000000001,9580000.0,0.0,0.07339815,0.0,-1703234000.0,0.0,-1087895000.0,0.0,1.19895148,0.06223990400000001,0.0,0.0,-2780804000.0,1.0979999999999999,0.0,0.0,-0.0034450467200000004,0.0,0.0,-0.07910605,0.0,0.0,0.0,0.0,0.0,84157000.0,130521000.0,1352139000.0,ABCB4
3,2019.0,2.0,0.0426039,0.0,06/30/2019 00:00:00,108862624.0,19.22,15.764473,0.0,10.4156094,30.785999999999998,4.42414045,0.0,0.0,0.0,0.0280437041,0.0,0.0,2092339710.0,-45786999.99999999,0.0,0.0,0.474689,15163000.0,0.0,0.114243738,0.0,430312000.0,0.0,-316561000.0,0.0,1.21919715,0.42476058,0.0,0.0,67964000.0,0.539,0.0,0.0,0.2231034,0.0,0.0,0.344976455,0.0,0.0,0.0,0.0,0.0,200885000.0,132725000.0,472937000.0,ABCB4
4,2019.0,1.0,0.126338273,0.0,03/31/2019 00:00:00,108862624.0,19.05,17.3464127,0.0,13.8871193,0.9814187,3.52418184,0.0,0.0,0.0,0.05664042,0.0,0.0,2073833000.0,18449000.0,0.0,0.0,0.30774328100000004,8603000.0,0.0,0.0719591156,0.0,-174635000.0,0.0,2269283000.0,0.0,1.09820974,0.253773421,0.0,0.0,2113097000.0,1.079,0.0,0.0,0.0040712757,0.0,0.0,-0.1543152,0.0,0.0,0.0,0.0,0.0,149335000.0,119554000.0,588458000.0,ABCB4
5,2018.0,4.0,-1.81149435,0.0,12/31/2018 00:00:00,108862624.0,16.31,4.26328,0.07239377500000001,41.38617,-0.9709449,-3.53897429,0.0589581728,0.0,0.0,0.06615573,0.0,0.0,1775549440.0,3793000.0,0.0,34.3446426,-1.094851,12621000.0,0.0,0.03030434,-0.016659678900000002,-2083356000.0,0.0,250881000.0,0.0,3.82569313,-0.08551103619999999,0.0,0.0014245864000000002,-1828682000.0,1.079,0.0,0.0,-0.006901691999999999,0.0,29378000.000000004,-0.00910738949,0.0,0.11139126099999999,0.013829299199999999,0.0,0.0,42902000.00000001,416475000.0,-501713000.0,ABCB4
6,2018.0,3.0,1.36475909,0.0,09/30/2018 00:00:00,108862624.0,13.49,12.6477613,0.0,13.6255035,0.7691074609999999,1.665087,0.04687891,0.061593715099999995,0.061593715099999995,0.07946627,-45.115097,-4862505000.0,1468556800.0,26171000.0,0.0,0.0,0.1215835,44179000.00000001,0.0,0.380486071,0.02815403,-109508000.0,0.0,1992767000.0,0.0,1.066592,0.1222037,0.0,0.00344052678,1909430000.0,1.072,0.0,0.0,0.023137271400000003,0.0,23842640000.0,-0.22539444300000006,0.0,0.0,0.0037064987700000003,0.0,0.0,107780000.0,116112000.0,881969999.9999998,ABCB4
7,2018.0,2.0,0.5494561,0.0,06/30/2018 00:00:00,108862624.0,14.56,14.1961241,0.0,438.219482,-2.22353435,1.06457531,0.0512613021,0.06637996,0.06637996,0.111675821,-1107.85852,-4007124220.0,1585039870.0000002,-4027000.0,0.0,0.0,0.0014715620800000002,13226000.0,0.0,0.118456289,0.0481518768,-642271000.0,0.0,-66548999.99999999,0.0,1.0256319999999999,0.00242932,0.0,0.00011697632,-712847000.0,1.626,0.0,0.0,-0.0185537711,0.0,23878290000.0,0.0360671021,0.0,0.0,0.0036109364600000003,0.0,0.0,3617000.0,111653000.0,1488894000.0,ABCB4
8,2018.0,1.0,0.153095424,0.0,03/31/2018 00:00:00,108862624.0,17.54,17.59084,0.0,12.015848199999999,-69.45729,3.65240955,0.0,0.0,0.0,0.06191562000000001,0.0,0.0,1909450500.0,-23718000.0,0.0,0.0,0.33471247600000004,14694000.0,0.0,0.13536869,0.0,934530000.0,0.0,-938303000.0,0.0,0.9971099,0.303966016,0.0,0.0,-27491000.0,1.0859999999999999,0.0,0.0,-0.5345021999999999,0.0,0.0,0.218502417,0.0,0.0,0.0,0.0,0.0,158911000.0,108548000.0,522792000.0,ABCB4
9,2017.0,4.0,-0.18012736699999998,0.0,12/31/2017 00:00:00,108862624.0,16.6,4.228001,0.07987086,-100.111885,-0.8707201480000001,4.226369999999999,0.0665733,0.0,0.0,0.0654216856,0.0,0.0,1807119620.0,-246459000.00000003,0.0,30.7802238,-0.010267036,12839000.0,0.0,0.03003858,0.0157518871,-535381000.0,0.0,-1293591000.0,0.0,3.92620516,-0.0422164649,0.0,-0.0006649889999999999,-2075431000.0,1.0859999999999999,0.0,0.0,-0.006186185,0.0,18176000.0,0.5766241999999999,0.0,0.1275561,0.01574581,0.0,0.0,-18051000.0,427417000.0,427582000.00000006,ABCB4
